Dataset,TaskType,Model,Hyperparameters,Accuracy,F1-Score,MSE,Precision,Recall,Notes
make_circles,Classification,MultinomialNB,-,0.479166667,0.477124183,,0.478835979,0.479166667,
make_circles,Classification,AdaBoost,n_estimators=150,0.9875,0.987499783,,0.987533857,0.9875,
make_blobs,Clustering,KMeans,n_clusters=3,0.842693759,,,,,Silhouette Score
make_blobs,Clustering,Agglomerative Clustering,n_clusters=3,0.842693759,,,,,Silhouette Score
Titanic,Classification,Logistic Regression,"max_iter=400, balanced=True",0.794776119,0.786423241,,0.783424908,0.791379818,
Titanic,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.798507463,0.789980844,,0.787111953,0.794410121,
Titanic,Classification,Decision Tree,balanced=True,0.809701493,0.796191641,,0.801114341,0.792556634,
Titanic,Classification,Random Forest,"n_estimators=150, balanced=True",0.839552239,0.825918821,,0.838014981,0.818623124,
Titanic,Classification,KNN,n_neighbors=7,0.794776119,0.781094527,,0.784213685,0.778611356,
Titanic,Classification,GaussianNB,-,0.77238806,0.753047629,,0.762734082,0.747661077,
Titanic,Classification,MultinomialNB,-,0.768656716,0.754665722,,0.755676765,0.753751103,
Titanic,Classification,AdaBoost,n_estimators=150,0.824626866,0.816915944,,0.813981588,0.82109444,
California Housing,Regression,Linear Regression,-,,,0.530567782,,,
California Housing,Regression,SVR,C=1.0,,,0.349551933,,,
California Housing,Regression,Decision Tree Regressor,max_depth=None,,,0.526525677,,,
California Housing,Regression,Random Forest Regressor,n_estimators=150,,,0.253946994,,,
California Housing,Regression,KNN Regressor,n_neighbors=7,,,0.420217175,,,
California Housing,Regression,Bagging Regressor,n_estimators=100,,,0.256736568,,,
Adult Income,Classification,Logistic Regression,"max_iter=400, balanced=True",0.8082111,0.774114902,,0.758680903,0.821154888,
Adult Income,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.793174615,0.759679447,,0.74654559,0.811259513,
Adult Income,Classification,Decision Tree,balanced=True,0.815729343,0.751259269,,0.752921754,0.74966305,
Adult Income,Classification,Random Forest,"n_estimators=150, balanced=True",0.845728606,0.780243724,,0.801679861,0.765016886,
Adult Income,Classification,KNN,n_neighbors=7,0.818677674,0.744188483,,0.759435919,0.732974222,
Adult Income,Classification,GaussianNB,-,0.59607872,0.588963486,,0.666616637,0.710462103,
Adult Income,Classification,MultinomialNB,-,0.81882509,0.75811221,,0.756958318,0.759299996,
Adult Income,Classification,AdaBoost,n_estimators=150,0.848676937,0.779687202,,0.811289946,0.759696755,
MNIST,Classification,Logistic Regression,"max_iter=400, balanced=True",0.911761905,0.910632845,,0.910694093,0.910637271,
MNIST,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.962190476,0.962030117,,0.962434801,0.961824288,
MNIST,Classification,Decision Tree,balanced=True,0.870428571,0.868531491,,0.868875175,0.868456903,
MNIST,Classification,Random Forest,"n_estimators=150, balanced=True",0.964904762,0.964611112,,0.964669701,0.964592247,
MNIST,Classification,KNN,n_neighbors=7,0.940666667,0.940001645,,0.940945396,0.939762483,
MNIST,Classification,GaussianNB,-,0.525095238,0.47395961,,0.663147809,0.517366414,
MNIST,Classification,MultinomialNB,-,0.823571429,0.822057979,,0.829730902,0.820502509,
MNIST,Classification,AdaBoost,n_estimators=150,0.744238095,0.744356765,,0.754354509,0.741840596,
IMDB,Classification,Logistic Regression,"max_iter=400, balanced=True",0.823888889,0.823879702,,0.823877358,0.823882556,
IMDB,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.851666667,0.851650138,,0.852072841,0.851800294,
IMDB,Classification,Decision Tree,balanced=True,0.686666667,0.68666628,,0.686724228,0.686716851,
IMDB,Classification,Random Forest,"n_estimators=150, balanced=True",0.825,0.824824338,,0.825789474,0.824803599,
IMDB,Classification,KNN,n_neighbors=7,0.540555556,0.463806971,,0.58571533,0.537645487,
IMDB,Classification,GaussianNB,-,0.718888889,0.718720816,,0.719099317,0.718742245,
IMDB,Classification,MultinomialNB,-,0.83,0.829952765,,0.830116212,0.829920575,
IMDB,Classification,AdaBoost,n_estimators=150,0.776666667,0.776567087,,0.777554999,0.776877861,
Credit Card Fraud,Classification,Logistic Regression,"max_iter=400, balanced=True",0.978640731,0.556944346,,0.53344927,0.92859654,
Credit Card Fraud,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.996851702,0.711202203,,0.654884598,0.833169818,
Credit Card Fraud,Classification,Decision Tree,balanced=True,0.999087111,0.858467061,,0.886431579,0.834289461,
Credit Card Fraud,Classification,Random Forest,"n_estimators=150, balanced=True",0.999461629,0.910021455,,0.985859163,0.854712144,
Credit Card Fraud,Classification,KNN,n_neighbors=7,0.999368,0.899095483,,0.94559307,0.86141028,
Credit Card Fraud,Classification,GaussianNB,-,0.978008731,0.55064484,,0.530044678,0.891182312,
Credit Card Fraud,Classification,MultinomialNB,-,0.998267851,0.499566587,,0.499133926,0.5,
Credit Card Fraud,Classification,AdaBoost,n_estimators=150,0.999110518,0.864062979,,0.886094035,0.844418734,
